         196031 function calls (191220 primitive calls) in 0.241 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   120/20    0.000    0.000    0.090    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      331    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      206    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      331    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    237/6    0.000    0.000    0.229    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2599    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      288    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      159    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  159/152    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      9/8    0.000    0.000    0.030    0.004 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    168/6    0.001    0.000    0.230    0.038 <frozen importlib._bootstrap>:650(_load_unlocked)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      331    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      677    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      677    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
